Accession,Keywords,Go
A1ALL1,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
A1AP46,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q4G3A1,"ATP synthesis,CF(0),Chloroplast,Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Plastid,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:chloroplast thylakoid membrane,C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q7V5S3,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q7VA59,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q0P3K7,"ATP synthesis,CF(0),Chloroplast,Complete proteome,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Plastid,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:chloroplast thylakoid membrane,C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
A6BM12,"ATP synthesis,CF(0),Chloroplast,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Plastid,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:chloroplast thylakoid membrane,C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q9MUT0,"ATP synthesis,CF(0),Chloroplast,Hydrogen ion transport,Ion transport,Lipid-binding,Membrane,Plastid,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:chloroplast thylakoid membrane,C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,F:lipid binding,P:ATP hydrolysis coupled proton transport,P:ATP synthesis coupled proton transport"
Q5ZWN4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q5X2Q6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A5IFJ6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A1AMA7,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q2SNG4,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q603U8,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A5EBW8,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A8ZNS1,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Plasmid,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
B1WXB4,"ATP synthesis,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Thylakoid,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),C:thylakoid membrane,F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
Q2Y8G6,"ATP synthesis,Cell inner membrane,Cell membrane,CF(0),Complete proteome,Hydrogen ion transport,Ion transport,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,C:plasma membrane,C:proton-transporting ATP synthase complex, coupling factor F(o),F:hydrogen ion transmembrane transporter activity,P:ATP synthesis coupled proton transport"
A1CFL0,"Complete proteome,Membrane,Reference proteome,Transmembrane,Transmembrane helix,Transport","C:integral component of membrane,P:transmembrane transport"
Q6P5E6,"Alternative splicing,Complete proteome,Endosome,Golgi apparatus,Membrane,Protein transport,Reference proteome,Transport,Ubl conjugation","C:clathrin adaptor complex,C:clathrin-coated vesicle,C:endosome membrane,C:Golgi apparatus,C:trans-Golgi network,F:ADP-ribosylation factor binding,P:intracellular protein transport,P:vesicle-mediated transport"
P65553,"Complete proteome,Hydrolase,Magnesium,Metal-binding","F:GDP-mannose mannosyl hydrolase activity,F:magnesium ion binding,F:manganese ion binding"
P32056,"3D-structure,Complete proteome,Hydrolase,Lipopolysaccharide biosynthesis,Magnesium,Metal-binding,Reference proteome","F:GDP-glucosidase activity,F:GDP-mannose mannosyl hydrolase activity,F:magnesium ion binding,F:manganese ion binding,P:lipopolysaccharide biosynthetic process"
Q3A946,"ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q2RFX9,"ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
B8I579,"ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A3DIM9,"ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q2JX57,"ATP synthesis,ATP-binding,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Thylakoid,Transport","C:proton-transporting ATP synthase complex, catalytic core F(1),C:thylakoid membrane,F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
O50292,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A6Q4C0,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A4J999,"ATP synthesis,ATP-binding,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
O67828,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
Q3A083,"ATP synthesis,ATP-binding,Cell inner membrane,Cell membrane,CF(1),Complete proteome,Hydrogen ion transport,Hydrolase,Ion transport,Membrane,Nucleotide-binding,Reference proteome,Transport","C:plasma membrane,C:proton-transporting ATP synthase complex, catalytic core F(1),F:ATP binding,F:proton-transporting ATP synthase activity, rotational mechanism,F:proton-transporting ATPase activity, rotational mechanism,P:ATP synthesis coupled proton transport"
A5IBQ3,"ATP-binding,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
Q5X5F4,"ATP-binding,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
Q5WWT7,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
Q1QZ94,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
B4S810,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
A4G7X8,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
Q2SL21,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
B3EJF7,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
Q7WKU8,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
A1VNK2,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide biosynthesis,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:adenylate kinase activity,F:ATP binding,P:AMP salvage"
Q5ZV92,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
Q5WWH5,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
A5IC43,"ATP-binding,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
Q5X515,"ATP-binding,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
Q603C1,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:nucleobase-containing small molecule interconversion,P:UTP biosynthetic process"
B8GTN8,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
P65539,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,C:intracellular,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:purine nucleotide metabolic process,P:pyrimidine nucleotide metabolic process,P:UTP biosynthetic process"
Q7NS84,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
Q0A990,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
Q1H0U5,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Magnesium,Metal-binding,Nucleotide metabolism,Nucleotide-binding,Phosphoprotein,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:nucleoside diphosphate kinase activity,P:CTP biosynthetic process,P:GTP biosynthetic process,P:UTP biosynthetic process"
P22102,"3D-structure,Acetylation,Alternative splicing,ATP-binding,Complete proteome,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Polymorphism,Purine biosynthesis,Reference proteome,Transferase","C:cytosol,C:extracellular exosome,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:brainstem development,P:cerebellum development,P:cerebral cortex development,P:glycine metabolic process,P:purine nucleobase biosynthetic process,P:purine ribonucleoside monophosphate biosynthetic process,P:response to inorganic substance,P:response to organic substance,P:tetrahydrofolate biosynthetic process"
Q59A32,"Acetylation,ATP-binding,Complete proteome,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Polymorphism,Purine biosynthesis,Reference proteome,Transferase","C:cytoplasm,C:extracellular exosome,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q64737,"Acetylation,Alternative splicing,ATP-binding,Complete proteome,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Purine biosynthesis,Reference proteome,Transferase","C:cytoplasm,C:extracellular exosome,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:brainstem development,P:cerebellum development,P:cerebral cortex development,P:glycine metabolic process,P:purine nucleobase biosynthetic process,P:response to inorganic substance,P:response to organic substance,P:tetrahydrofolate biosynthetic process"
P21872,"Alternative splicing,ATP-binding,Complete proteome,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Purine biosynthesis,Reference proteome,Transferase","C:cytosol,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
P43846,"Complete proteome,Purine biosynthesis,Reference proteome,Transferase","F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
P08179,"3D-structure,Complete proteome,Direct protein sequencing,Purine biosynthesis,Reference proteome,Transferase","C:cytosol,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:cellular response to DNA damage stimulus"
Q26255,"ATP-binding,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Purine biosynthesis,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
P00967,"Alternative splicing,ATP-binding,Complete proteome,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Phosphoprotein,Purine biosynthesis,Reference proteome,Transferase","C:cytosol,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
P16340,"Alternative splicing,ATP-binding,Complete proteome,Ligase,Manganese,Metal-binding,Multifunctional enzyme,Nucleotide-binding,Purine biosynthesis,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,F:phosphoribosylformylglycinamidine cyclo-ligase activity,F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
P12040,"Complete proteome,Purine biosynthesis,Reference proteome,Transferase","F:phosphoribosylglycinamide formyltransferase activity,P:'de novo' IMP biosynthetic process"
Q465Q9,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q8Q0J2,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q0W6Q4,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q8TKT6,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q12X37,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q6M079,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
A4FZB0,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
A9A6Q7,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
O27494,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q58347,"ATP-binding,Complete proteome,Ligase,Magnesium,Manganese,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:metal ion binding,F:phosphoribosylamine-glycine ligase activity,P:'de novo' IMP biosynthetic process,P:purine nucleobase biosynthetic process"
Q51342,"Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
P43854,"Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
Q9L6B8,"Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
P0AG16,"3D-structure,Complete proteome,Direct protein sequencing,Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","C:cytoplasm,C:cytosol,F:amidophosphoribosyltransferase activity,F:identical protein binding,F:metal ion binding,F:transferase activity, transferring glycosyl groups,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process,P:purine nucleotide biosynthetic process"
P04046,"Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
Q12698,"Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Purine biosynthesis,Transferase","F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
P41390,"Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Magnesium,Metal-binding,Phosphoprotein,Purine biosynthesis,Reference proteome,Transferase","C:cytoplasm,F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:adenine metabolic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
Q57657,"4Fe-4S,Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Iron,Iron-sulfur,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:4 iron, 4 sulfur cluster binding,F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
O26742,"4Fe-4S,Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Iron,Iron-sulfur,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:4 iron, 4 sulfur cluster binding,F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
O29388,"4Fe-4S,Complete proteome,Glutamine amidotransferase,Glycosyltransferase,Iron,Iron-sulfur,Magnesium,Metal-binding,Purine biosynthesis,Reference proteome,Transferase","F:4 iron, 4 sulfur cluster binding,F:amidophosphoribosyltransferase activity,F:metal ion binding,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process,P:nucleoside metabolic process,P:purine nucleobase biosynthetic process"
Q5X4M9,"ATP-binding,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
